Blog	questions	better	best	some	point	don	love	company	like	latest	episode	people	support	our	ll	via	other	help	product	work	years	design	search	my	ve	been	companies	time	once	why	year	watch	when	back	always	me	david	open	such	far	question	had	trump	really	their	donald	then	house	which	white	no	right	president	his	pretty	go	its	own	morning	comes	says	use	much	else	those	same	things	family	lead	often	so	case	put	tell	street	need	your	lot	even	many	while	doesn	most	home	does	bit	course	big	than	long	thing	down	do	too	any	being	get	least	building	re	just	very	way	where	want	say	sure	america	were	know	there	these	care	them	words	let	would	friends	talk	over	important	bad	will	because	d	night	who	anyone	think	system	he	public	life	try	private	after	old	here	everything	made	before	job	late	into	sometimes	if	internet	email	social	free	us	make	am	without	pay	stuff	asked	happy	data	past	nothing	two	first	still	continue	reading	business	might	site	m	facebook	never	ago	web	tech	york	well	did	going	china	got	last	list	easy	post	appeared	next	online	also	him	only	real	day	days	photos	may	art	must	matter	five	said	doing	though	probably	google	now	app	working	actually	number	used	service	see	idea	different	box	read	wouldn	using	group	b	each	another	both	find	around	store	place	full	name	something	game	lost	content	tools	isn	share	should	blog	thinking	top	little	won	create	businesses	features	week	amazon	youtube	comments	video	u	story	today	media	seen	future	major	yet	project	set	summer	calls	man	early	apple	products	buy	world	through	school	spend	available	could	information	needed	stories	study	her	went	found	makes	simple	million	recently	together	everyone	human	review	report	already	good	call	government	users	between	based	rights	done	making	less	under	example	country	able	look	along	twitter	news	told	off	give	learn	away	during	ways	feel	few	become	means	high	show	digital	cover	great	security	including	states	take	e	per	currently	head	move	united	three	th	again	car	left	six	ever	hard	experience	started	american	website	since	members	state	city	every	part	former	person	play	personal	hope	camera	platform	almost	plan	response	mobile	shows	page	come	looking	music	text	whether	second	coming	months	change	live	run	check	getting	however	team	health	start	didn	power	hours	someone	called	nbsp	according	smart	network	movie	com	light	against	kids	mind	kind	nearly	black	deal	half	women	bill	took	four	death	john	month	june	friend	moment	side	having	keep	enough	maybe	posts	she	line	happened	event	writing	thought	write	end	mean	money	instead	small	among	especially	times	came	original	short	book
Instapundit	0	0	4	1	1	3	0	4	3	0	0	7	1	3	0	0	1	0	0	0	2	0	0	1	0	2	0	1	0	6	1	2	6	0	0	4	0	2	2	0	2	5	9	0	4	0	0	2	1	2	1	2	2	5	3	3	0	0	2	0	4	5	3	0	3	0	0	0	0	2	3	3	1	0	1	0	1	0	3	0	0	2	1	0	0	0	1	2	2	1	0	3	4	0	1	1	2	0	0	0	0	1	3	0	0	0	0	5	5	0	1	0	2	6	0	0	6	0	0	4	0	2	9	0	2	0	12	0	0	3	9	3	0	2	0	2	0	1	1	5	0	0	2	5	0	8	0	0	0	1	8	0	0	0	0	3	1	0	2	0	0	1	5	1	0	0	0	4	0	2	2	1	2	0	2	0	3	0	0	4	0	0	0	0	0	0	1	0	2	3	2	0	4	1	0	0	0	0	0	0	3	1	1	1	4	3	0	2	2	1	4	0	5	0	0	0	1	0	2	0	1	0	0	0	2	0	0	0	3	0	2	0	2	0	2	2	0	1	0	0	4	2	2	0	0	0	1	12	0	2	1	4	0	2	4	0	0	2	1	0	0	4	2	3	2	4	2	0	9	0	3	0	1	2	0	0	0	2	3	0	1	0	0	4	0	0	0	0	0	0	0	5	0	0	0	2	0	1	0	0	0	2	0	2	0	3	0	3	2	2	0	2	0	4	2	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	2	0	2	2	0	0	0	2	3	0	2	0	0	0	3	0	0	2	4	2	2	0	0	0	0	0	0	0	0	1	2	2	0	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	0	2	0	2	0	2	4	2	0	0	0	0	0	0	1	0	2	2	3	2	2	4	2	2	3	2	2	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Joi Ito's Web	0	0	0	1	0	0	1	0	1	0	0	2	0	1	0	0	0	1	0	1	0	0	0	3	0	0	0	3	0	1	1	0	3	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
Mashable	1	3	68	9	0	6	4	0	11	5	0	10	1	8	4	1	2	4	1	4	4	2	3	12	3	7	0	11	3	2	6	4	8	5	4	9	0	0	1	4	0	1	4	3	11	0	4	1	3	3	5	1	2	8	2	7	4	2	0	9	0	6	7	3	5	4	4	2	0	0	6	54	3	2	0	2	53	2	7	2	8	1	10	11	1	0	0	1	7	5	1	10	5	2	5	4	16	0	1	14	16	2	5	3	4	2	2	4	6	7	7	11	1	7	1	2	5	2	1	11	1	3	12	3	9	1	9	2	3	1	4	1	4	1	0	3	3	5	5	5	8	1	5	6	2	8	14	0	1	11	5	7	1	5	1	1	0	1	3	1	1	4	3	4	0	0	0	1	0	3	0	3	1	0	11	0	3	3	6	0	1	3	4	2	0	0	5	9	5	2	4	2	9	0	0	1	0	0	0	1	3	4	2	1	1	9	6	3	0	1	2	2	57	2	9	2	31	2	1	1	2	2	3	2	2	4	2	0	1	0	2	6	3	1	0	2	1	1	0	0	1	1	2	0	0	7	2	111	0	0	8	2	4	2	0	0	0	0	3	1	3	3	2	0	1	15	1	4	6	3	3	1	3	4	2	0	0	1	1	1	2	0	2	0	1	1	2	0	1	0	3	6	2	0	2	0	1	2	2	2	0	3	1	1	2	3	0	1	1	4	59	3	1	1	0	3	1	4	0	0	3	18	3	3	4	1	5	5	2	2	1	0	2	0	3	3	0	2	0	0	1	2	1	5	0	1	1	4	1	3	6	3	1	0	3	1	4	1	2	0	3	1	0	7	4	0	2	1	1	0	1	1	2	2	3	3	1	3	3	1	0	3	0	0	5	1	1	2	0	1	25	2	2	1	6	1	0	1	1	0	3	0	1	2	4	0	3	1	4	6	5	4	2	3	5	5	2	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
MichelleMalkin.com	2	0	0	1	0	2	0	0	2	0	0	2	0	2	0	0	2	0	0	1	4	0	0	5	0	1	0	2	0	0	0	1	1	2	1	0	0	0	0	1	1	2	0	0	1	0	0	1	0	0	2	2	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	3	0	0	0	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	2	0	0	1	0	0	0	6	2	0	2	1	0	0	1	0	3	0	0	0	0	0	1	0	0	0	3	0	0	1	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	2	4	0	1	0	0	0	0	0	1	0	1	1	3	3	0	0	0	0	0	1	0	3	3	1	0	0	0	2	0	0	0	4	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	6	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
The Viral Garden	5	10	7	17	6	15	2	13	27	2	0	68	2	7	17	8	19	10	2	17	6	0	3	68	20	11	30	26	3	21	19	0	38	20	6	57	0	2	8	1	0	40	0	10	72	0	23	0	19	0	19	7	0	8	3	14	11	24	0	2	0	20	6	8	12	16	6	0	2	9	62	8	4	11	0	8	70	14	19	25	8	2	23	0	5	8	3	12	10	8	17	2	40	6	8	21	21	5	4	4	21	23	27	18	34	6	11	2	36	22	37	25	1	50	1	8	31	12	1	15	4	3	47	38	5	3	16	3	32	0	17	0	2	4	0	8	2	25	0	8	11	1	1	9	7	61	0	3	135	6	16	20	25	2	3	3	1	1	0	2	2	8	23	14	1	8	12	5	12	18	14	10	5	1	0	2	12	13	10	0	10	12	12	2	43	0	9	8	10	3	16	3	17	10	0	12	0	3	2	0	13	13	5	12	0	19	0	1	11	5	1	5	22	18	3	1	10	3	30	4	2	5	9	6	9	7	1	3	3	10	9	1	0	15	7	6	8	16	48	4	4	3	11	10	6	0	5	0	0	23	0	0	2	4	123	3	1	0	1	4	0	2	0	1	3	1	2	2	4	4	1	2	0	8	4	2	3	6	5	7	10	4	2	0	6	5	10	1	0	0	2	17	1	0	10	2	0	0	3	4	5	1	4	0	2	2	4	61	1	3	5	6	8	3	5	6	2	26	10	5	1	5	1	4	13	0	1	0	7	0	2	1	1	2	0	3	9	3	0	10	0	3	0	1	14	0	3	3	5	1	0	10	7	0	6	2	6	2	0	1	2	0	2	0	2	7	8	10	6	0	1	3	11	7	3	3	0	7	6	1	5	0	4	14	5	4	14	5	14	2	2	4	0	22	0	0	0	0	0	0	1	1	3	0	1	10	5	0	1	1	2	4	0	1	2	3	5	4	9	2	3	4	28	5	11	9	5	8	3	5	5	3	1	1	1	1	1	0
NB Blog Feed	4	0	0	4	1	2	1	1	11	2	0	9	2	3	0	0	5	1	0	1	5	0	0	1	0	2	3	3	1	3	2	0	8	2	0	1	2	0	0	3	1	9	53	2	13	2	2	3	4	6	10	5	27	26	0	2	9	4	10	1	3	3	1	0	1	2	1	1	2	2	1	1	2	0	1	2	2	0	9	1	0	1	4	0	2	0	2	9	2	1	3	7	6	2	3	0	4	0	0	6	8	1	3	4	4	1	1	6	6	3	8	1	0	2	2	1	5	1	1	3	0	0	9	5	3	15	7	2	2	0	13	0	7	0	0	10	6	0	0	2	2	0	5	3	0	8	0	0	1	8	0	2	0	2	3	0	0	0	0	0	0	3	4	3	0	0	2	0	1	0	4	0	2	0	5	2	1	0	1	2	1	3	2	0	1	2	0	8	1	4	7	0	5	1	0	1	1	0	2	3	1	2	1	0	0	3	0	0	1	0	4	0	3	3	0	0	0	0	3	5	0	0	3	1	0	1	0	1	1	1	2	0	2	3	0	0	0	0	0	1	1	2	2	1	0	0	3	2	0	4	5	3	0	2	13	0	2	0	0	1	2	0	0	2	0	0	0	0	5	2	2	0	0	2	0	0	0	0	12	1	4	0	0	1	0	1	2	0	0	4	0	3	1	1	0	1	0	1	0	1	1	0	1	3	0	2	1	0	11	1	4	1	0	2	7	0	2	1	0	0	0	7	0	0	0	0	2	3	1	0	0	0	0	2	2	0	0	2	0	15	2	1	1	0	1	1	1	1	3	4	0	1	1	6	2	0	1	0	0	2	1	4	0	0	1	0	1	0	0	1	0	0	0	1	1	2	0	1	0	1	0	0	1	2	2	1	1	5	19	3	0	5	1	0	0	4	0	0	2	1	2	2	2	3	5	0	0	4	4	0	8	0	0	2	2	0	0	0	0	4	0	0	2	0	0	0	1	1	0	1	0	1	2	2	2	0	0	0
PaulStamatiou.com - Technology, Design and Photography	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0	2	0	0	0	1	0	6	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	1	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	16	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
Power LinePower Line	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	7	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	2	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
O'Reilly Radar	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	2	0	1	0	0	0	3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	1	1	0	1	0	0	2	0	0	0	2	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
pharyngula	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	4	1	1	0	1	0	1	1	0	4	1	0	6	0	4	0	0	0	2	0	0	3	0	1	2	4	0	3	2	0	0	0	3	1	1	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	1	2	1	4	1	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	1	2	1	2	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	4	0	0	0	0	0	0	1	0	4	0	1	1	0	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	1	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	1	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
Seth Godin's Blog on marketing, tribes and respect	0	3	0	0	0	5	0	0	0	0	0	3	0	1	6	0	2	0	0	1	1	0	0	1	2	0	0	4	0	0	0	1	2	1	2	0	0	0	0	0	2	0	0	1	1	0	0	0	2	0	1	0	0	1	0	4	0	0	0	0	0	1	1	0	0	0	2	0	0	0	2	0	2	0	1	0	6	0	1	2	0	1	3	0	0	0	1	0	1	0	0	3	4	1	0	1	3	0	0	5	0	0	2	0	1	0	0	0	0	0	3	0	0	2	3	1	1	0	1	0	0	0	4	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	5	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	2	0	0	0	0	0	2	0	4	0	0	0	0	0	1	2	0	4	0	1	0	0	0	0	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	2	0	0	2	0	1	2	2	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	3	0	2	1	0	0	2	0	0	0	0	0	0	0	3
Slashdot	0	0	0	4	0	3	0	3	9	0	0	6	3	1	1	4	1	2	0	5	7	0	0	0	1	8	3	5	0	1	4	0	7	1	0	0	0	0	1	0	1	4	2	0	4	1	0	1	6	0	4	2	5	6	1	1	10	1	0	1	4	5	1	1	1	3	3	0	0	0	4	1	1	0	3	1	1	0	2	0	4	4	8	4	2	0	1	0	9	2	0	3	3	2	3	5	2	2	2	1	4	1	2	7	3	0	0	1	6	0	4	2	0	2	0	0	11	0	0	8	0	0	15	1	1	1	6	1	0	2	2	2	2	0	0	6	1	0	1	3	4	0	0	7	0	3	3	3	2	6	1	4	0	1	1	0	0	0	5	0	0	3	7	1	3	1	1	0	2	0	6	0	3	1	2	11	3	1	3	1	0	0	1	0	1	1	1	1	1	9	3	0	4	3	2	2	2	0	0	1	9	1	2	0	4	5	0	4	0	1	3	1	0	0	0	0	15	0	1	1	0	0	1	3	1	5	1	0	1	0	0	2	0	0	0	1	3	1	1	1	0	3	2	1	1	2	5	0	0	0	2	2	18	2	0	0	0	2	0	0	3	1	0	2	0	2	1	0	5	3	1	0	6	3	1	0	1	3	1	0	2	1	0	1	1	1	0	1	0	11	0	2	0	3	4	2	4	1	1	0	1	0	1	2	2	0	1	6	5	4	1	1	0	0	3	0	0	1	2	4	0	0	3	0	0	1	3	2	2	0	3	2	0	3	2	1	1	0	1	0	1	3	1	1	0	0	1	5	0	8	12	0	1	2	1	0	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	1	2	1	5	0	1	1	7	0	1	0	2	0	2	0	0	1	1	0	0	0	0	0	2	0	0	3	0	2	5	0	1	2	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	1	3	0	0	0
ThinkProgress	0	0	0	3	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	12	0	1	3	0	1	1	0	1	0	3	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	2	1	0	2	1	0	2	0	1	4	0	0	5	0	0	3	0	1	2	2	1	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	2	4	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	3	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0
The Dish	1	2	0	1	0	4	7	0	0	3	0	5	2	6	3	0	2	0	0	3	12	0	0	17	3	6	0	6	0	5	3	0	5	3	1	11	0	2	0	0	2	4	0	0	7	0	7	2	2	0	6	0	1	11	0	3	0	1	2	0	0	1	2	1	3	2	3	0	0	2	6	1	0	0	0	0	13	0	5	3	0	1	5	1	0	0	0	2	4	7	1	1	4	1	1	0	2	2	0	2	4	1	0	0	1	1	0	2	1	7	3	5	0	0	4	0	1	1	2	3	0	1	6	1	1	0	5	2	1	1	3	1	1	0	1	2	3	2	0	2	1	1	0	1	0	2	3	4	0	0	3	2	2	2	0	0	0	0	0	3	2	1	4	2	33	35	0	1	2	1	0	2	2	0	0	0	1	2	2	0	0	3	0	0	4	0	1	0	0	0	3	1	12	0	1	1	1	0	0	1	4	1	1	2	0	2	0	0	0	1	0	0	0	3	1	0	11	0	0	0	0	0	2	0	2	5	0	1	0	0	0	2	0	2	0	1	0	4	6	0	0	2	1	0	0	0	1	0	0	0	0	3	4	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	8	4	0	0	0	1	0	0	0	0	1	1	1	0	2	1	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	4	0	1	3	0	0	2	1	0	0	0	0	2	0	0	0	2	0	1	0	1	2	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	3	1	1	0	1	4	2	0	1	0	3	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	3	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	3	0	0	1	1	1	4	1	0	0	0	3	2	0	3	0	1	0	0	0	0	1	0	1	4	4
